monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity
PI310,*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,1.779887798,6.83E-13,1636.840508,1503470315,0.00017652,1.288380575,0.09864473
PI313,*C(C(*)(F)F)OC(F)(F)F,1.726335987,3.48E-13,1723.65013,2321454540,9.61E-05,1.321084101,0.113432798
PI350,*C(C*)OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,1.72120682,8.12E-13,1848.544899,2343945316,0.000156858,1.331956641,0.117573176
PI353,*C(C*)OC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.679400325,7.55E-13,1894.027556,1910394908,0.000210206,1.335390515,0.117895156
PI371,*C(C*)OC(C(F)(F)F)(C(F)(F)F)F,1.622288206,6.11E-13,1820.22411,2242950729,0.00010743,1.327223723,0.105366502
PI433,*C(C*)C(=O)OC(C(Cl)(F)F)(C(F)(F)F)F,1.596822382,8.62E-13,1884.403649,1789555856,0.00020299,1.36414012,0.108082679
PI434,*C(C*)C(=O)OC(C(Cl)(F)F)(C(Cl)(F)F)F,1.633953683,7.50E-13,1689.345431,2302111458,0.000105589,1.393689921,0.102567279
PI512,*C(F)C(*)(F)F,1.798577625,4.49E-13,1825.59677,4341654415,8.36E-05,1.38194746,0.14138687
PI513,*C(F)(F)C(F)(F)*,1.914482486,5.56E-13,1574.9772,3240212268,9.09E-05,1.339307992,0.19501973
PI516,*C(F)(F)C(*)(F)C(F)(F)F,1.790591386,3.33E-13,1552.707634,1955835285,4.96E-05,1.299258017,0.082200976
