monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI1,*CC*,0.837971504,3.62e-12,4699.002675,2689138059.0,0.00016916,1.512318548,0.456184962,1
PI2,*C(C*)C,0.83573244,5.47e-13,4332.492867,2969571310.0,0.000129248,1.490928527,0.25877338,1
PI3,*C(C*)CC,0.833803273,6.54e-13,4458.603276,2500329090.0,0.000141024,1.475320848,0.264363289,1
PI4,*C(C*)CCC,0.82434244,5.38e-13,4446.7416,2469748496.0,0.00013201,1.467299555,0.261130695,1
PI5,*C(C*)C(C)C,0.809481605,5.22e-13,4376.928225,2309333121.0,8.32e-05,1.45578207,0.234342233,1
PI6,*C(C*)CCCC,0.825542476,5.49e-13,4465.699624,2337311246.0,0.00014829,1.46495125,0.275330549,1
PI7,*C(C*)CC(C)C,0.822248085,5.8e-13,4425.884896,2395293933.0,0.000129627,1.461320799,0.240918065,1
PI8,*C(C*)CCCCC,0.826026958,7.71e-13,4541.070571,2202142028.0,0.000173746,1.463341848,0.27463839,1
PI10,*C(C*)CCC(CC)C,0.835027112,1.02e-12,4441.089472,2434337805.0,0.000157343,1.46101734,0.265949678,1
PI11,*C(C*)CCCCCCC,0.830236127,1.21e-12,4611.340726,2258374812.0,0.000186476,1.464325512,0.3025418,1
PI12,*C(C*)CCCCCCCC,0.830808762,1.08e-12,4625.514085,2299148523.0,0.000173278,1.459140147,0.311086292,1
PI13,*C(C*)(C)C,0.87060676,6.48e-13,4404.36769,4100197687.0,8.04e-05,1.506599481,0.239525744,1
PI14,*C(C*)(CC)C,0.844525133,1.96e-13,4279.141456,3280112964.0,5.73e-05,1.478831436,0.238234779,1
PI15,*C(CC*)(C)C,0.831834985,3.26e-13,4323.95676,3627698508.0,7.86e-05,1.470448062,0.243031165,1
PI16,*C(C(C*)C)(C)C,0.836805812,4.12e-13,4283.919731,2914481841.0,9.01e-05,1.464407834,0.236350165,1
PI17,*C(CCC*)(C)C,0.829420011,5.79e-13,4450.846808,3327693368.0,9.33e-05,1.46599784,0.26184049,1
PI18,*C(CCC*)(CC)C,0.827575347,3.54e-13,4383.910692,3127212765.0,0.000100606,1.459990507,0.255337725,1
PI19,*C(CCCCCCC*)C,0.838285169,1.56e-12,4839.385352,2534166723.0,0.000223838,1.468109415,0.335492597,1
PI20,*C(C*)C1CC1,0.894720922,6.32e-13,4111.184311,2410150327.0,0.00012369,1.493700097,0.241876535,1
PI21,*C(C*)C1CCC1,0.890516521,6.06e-13,4151.097474,2798250965.0,0.00012365,1.481642147,0.225308463,1
PI22,*C(C*)C1CCCC1,0.896070041,4.94e-13,4198.195815,3043772220.0,9.71e-05,1.481649535,0.231107263,1
