monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity
PI1,*CC*,0,0,0,0,0,0,0
PI2,*C(C*)C,0,0,0,0,0,0,0
PI3,*C(C*)CC,0,0,0,0,0,0,0
PI4,*C(C*)CCC,0,0,0,0,0,0,0
PI5,*C(C*)C(C)C,0,0,0,0,0,0,0
PI6,*C(C*)CCCC,0,0,0,0,0,0,0
PI7,*C(C*)CC(C)C,0,0,0,0,0,0,0
PI8,*C(C*)CCCCC,0,0,0,0,0,0,0
PI10,*C(C*)CCC(CC)C,0,0,0,0,0,0,0
PI11,*C(C*)CCCCCCC,0,0,0,0,0,0,0
PI12,*C(C*)CCCCCCCC,0,0,0,0,0,0,0
PI13,*C(C*)(C)C,0,0,0,0,0,0,0
PI14,*C(C*)(CC)C,0,0,0,0,0,0,0
PI15,*C(CC*)(C)C,0,0,0,0,0,0,0
PI16,*C(C(C*)C)(C)C,0,0,0,0,0,0,0
PI17,*C(CCC*)(C)C,0,0,0,0,0,0,0
PI18,*C(CCC*)(CC)C,0,0,0,0,0,0,0
PI19,*C(CCCCCCC*)C,0,0,0,0,0,0,0
PI20,*C(C*)C1CC1,0,0,0,0,0,0,0
PI21,*C(C*)C1CCC1,0,0,0,0,0,0,0
PI22,*C(C*)C1CCCC1,0,0,0,0,0,0,0
PI23,*C(C*)CC1CCCC1,0,0,0,0,0,0,0
PI24,*C(C*)C1CCCCC1,0,0,0,0,0,0,0
PI25,*C(C*)CC1CCCCC1,0,0,0,0,0,0,0
PI26,*C(C*)Cc1ccccc1,0,0,0,0,0,0,0
PI27,*C(C*)CCc1ccccc1,0,0,0,0,0,0,0
PI28,*C(C*)C(c1ccccc1)C,0,0,0,0,0,0,0
PI29,*C1CC(CC1)C*,0,0,0,0,0,0,0
PI30,*C(C*)CCCCCC,0,0,0,0,0,0,0
PI31,*C(C*)CCCCCCCCCC,0,0,0,0,0,0,0
PI32,*C(C*)CCCCCCCCCCCC,0,0,0,0,0,0,0
PI33,*C(C*)CCCCCCCCCCCCCCCC,0,0,0,0,0,0,0
PI35,*C(C*)C(CC)C,0,0,0,0,0,0,0
PI36,*C(C*)C(CC)CC,0,0,0,0,0,0,0
PI37,*C(C*)CC(CC)CC,0,0,0,0,0,0,0
PI38,*C(C*)CC(CC)C,0,0,0,0,0,0,0
PI39,*C(C*)CC(C)(C)C,0,0,0,0,0,0,0
PI40,*C(C*)CC(CC)(C)C,0,0,0,0,0,0,0
PI41,*C(C*)CCCC(C)(C)C,0,0,0,0,0,0,0
PI42,*C(C*)CCC1CCCCC1,0,0,0,0,0,0,0
PI43,*C(C*)CCCC1CCCCC1,0,0,0,0,0,0,0
PI44,*C1(CCC(CC1)C)C*,0,0,0,0,0,0,0
PI45,*C(C*)(CCC)C,0,0,0,0,0,0,0
PI46,*/C=C/CC*,0,0,0,0,0,0,0
PI47,*/C=C\CC*,0,0,0,0,0,0,0
PI48,*C=CCC*,0,0,0,0,0,0,0
PI49,*C(C)C(C)*,0,0,0,0,0,0,0
PI50,*/C=C/*,0,0,0,0,0,0,0
PI51,*C(C(CC*)C)C,0,0,0,0,0,0,0
PI52,*C1C(CCC1)CC*,0,0,0,0,0,0,0
PI53,*C=CCCCCCCCC*,0,0,0,0,0,0,0
PI54,*C(C*)CCCCCCCCCCCCCCCCCCCC,0,0,0,0,0,0,0
PI55,*/C=C/CCCCCCCCCC*,0,0,0,0,0,0,0
PI56,*C(C*)CCCCCCCCCCCCCC,0,0,0,0,0,0,0
PI57,*C=CCCCCCC*,0,0,0,0,0,0,0
PI58,*/C=C/CCC*,0,0,0,0,0,0,0
PI59,*C(C*)C(C)(C)C,0,0,0,0,0,0,0
PI60,*/C=C\CCCC*,0,0,0,0,0,0,0
PI61,*C(C*)CCCCCCCCCCCCC,0,0,0,0,0,0,0
PI62,*C(CC)C(CC)*,0,0,0,0,0,0,0
PI63,*C(C*)CCCCCCCCCCC,0,0,0,0,0,0,0
PI64,*C(C*)CCCCCCCCC,0,0,0,0,0,0,0
PI65,*C(C*)C1CC(CCC1)C,0,0,0,0,0,0,0
PI66,*C(C*)C1CCC(CC1)C,0,0,0,0,0,0,0
PI67,*C(C*)C1CC=CCC1,0,0,0,0,0,0,0
PI68,*C(=CCC*)CCCCCCC,0,0,0,0,0,0,0
PI69,*C(=CCC*)C(C)C,0,0,0,0,0,0,0
PI70,*/C=C\CCC*,0,0,0,0,0,0,0
PI71,*C(C*)CCC(C)(C)C,0,0,0,0,0,0,0
PI72,*C1C(CC1)*,0,0,0,0,0,0,0
PI73,*/C=C\*,0,0,0,0,0,0,0
PI74,*/C=C\CCCCC*,0,0,0,0,0,0,0
PI75,*C1CC(CC1)C=C*,0,0,0,0,0,0,0
PI76,*/C=C/C(C*)C(CC)C,0,0,0,0,0,0,0
PI77,*C(=CCC*)CCC,0,0,0,0,0,0,0
PI78,*C=CCCCCCCCCCC*,0,0,0,0,0,0,0
PI79,*C1(CCCCC1)C*,0,0,0,0,0,0,0
PI80,*C=CC(CCCCC*)C,0,0,0,0,0,0,0
PI81,*/C(=C\CC*)C(C)(C)C,0,0,0,0,0,0,0
PI82,*C(C*)c1ccccc1,0,0,0,0,0,0,0
PI83,*C(C*)c1c(cccc1)C,0,0,0,0,0,0,0
PI84,*C(C*)c1c(cccc1)CC,0,0,0,0,0,0,0
PI85,*C(C*)c1c(cccc1)COC,0,0,0,0,0,0,0
PI86,*C(C*)c1c(cccc1)COCC,0,0,0,0,0,0,0
PI87,*C(C*)c1c(cccc1)COCCC,0,0,0,0,0,0,0
PI88,*C(C*)c1c(cccc1)COC(C)C,0,0,0,0,0,0,0
PI89,*C(C*)c1c(cccc1)COCCCC,0,0,0,0,0,0,0
PI90,*C(C*)c1c(cccc1)COCCCCC,0,0,0,0,0,0,0
PI91,*C(C*)c1c(cccc1)COCCC(C)C,0,0,0,0,0,0,0
PI92,*C(C*)c1c(cccc1)COCc1ccccc1,0,0,0,0,0,0,0
PI93,*C(C*)c1c(cccc1)COCCc1ccccc1,0,0,0,0,0,0,0
PI94,*C(C*)c1c(cccc1)C(=O)NC,0,0,0,0,0,0,0
PI95,*C(C*)c1c(cccc1)C(=O)N(C)C,0,0,0,0,0,0,0
PI96,*C(C*)c1c(cccc1)C(=O)Nc1ccccc1,0,0,0,0,0,0,0
PI97,*C(C*)c1c(cccc1)C(=O)O,0,0,0,0,0,0,0
PI98,*C(C*)c1c(cccc1)C(=O)OC,0,0,0,0,0,0,0
PI99,*C(C*)c1c(cccc1)C(=O)OCC,0,0,0,0,0,0,0
PI100,*C(C*)c1c(cccc1)C(=O)OCCC,0,0,0,0,0,0,0
PI101,*C(C*)c1c(cccc1)C(=O)OC(C)C,0,0,0,0,0,0,0
PI102,*C(C*)c1c(cccc1)C(=O)OCCCC,0,0,0,0,0,0,0
PI103,*C(C*)c1c(cccc1)C(=O)OCC(C)C,0,0,0,0,0,0,0
PI104,*C(C*)c1c(cccc1)C(=O)OCCCCC,0,0,0,0,0,0,0
PI105,*C(C*)c1c(cccc1)C(=O)OCCC(C)C,0,0,0,0,0,0,0
PI106,*C(C*)c1c(cccc1)C(=O)OCCCCCC,0,0,0,0,0,0,0
PI107,*C(C*)c1c(cccc1)C(=O)Oc1ccccc1,0,0,0,0,0,0,0
PI108,*C(C*)c1c(cccc1)C(=O)OCCN(C)C,0,0,0,0,0,0,0
PI109,*C(C*)c1ccc(cc1)C(=O)OCCN(C)C,0,0,0,0,0,0,0
PI110,*C(C*)c1c(cccc1)OC,0,0,0,0,0,0,0
PI111,*C(C*)c1c(cccc1)Cl,0,0,0,0,0,0,0
PI112,*C(C*)c1c(cccc1)F,0,0,0,0,0,0,0
PI113,*C(C*)c1cc(ccc1)C,0,0,0,0,0,0,0
PI114,*C(C*)c1cc(ccc1)CC,0,0,0,0,0,0,0
PI115,*C(C*)c1cc(ccc1)c1ccc(cc1)c1ccccc1,0,0,0,0,0,0,0
PI116,*C(C*)c1cc(ccc1)Cl,0,0,0,0,0,0,0
PI117,*C(C*)c1cc(ccc1)F,0,0,0,0,0,0,0
PI118,*C(C*)c1ccc(cc1)C,0,0,0,0,0,0,0
PI119,*C(C*)c1ccc(cc1)CC,0,0,0,0,0,0,0
PI120,*C(C*)c1ccc(cc1)C(C)C,0,0,0,0,0,0,0
PI121,*C(C*)c1ccc(cc1)CCCC,0,0,0,0,0,0,0
PI122,*C(C*)c1ccc(cc1)C(C)(C)C,0,0,0,0,0,0,0
PI123,*C(C*)c1ccc(cc1)C(CC)C,0,0,0,0,0,0,0
PI124,*C(C*)c1ccc(cc1)CCCCCC,0,0,0,0,0,0,0
PI125,*C(C*)c1ccc(cc1)CCCCCCCC,0,0,0,0,0,0,0
PI126,*C(C*)c1ccc(cc1)CCCCCCCCC,0,0,0,0,0,0,0
